Date,Customer_ID,Region,Sales_Rep,Product_ID,Product_Name,Category,Units_Sold,Unit_Price,Revenue,Cost,Profit
2024-11-30,CUST8872,South,Charlie,P006,Tablet,Electronics,17,512.16,8706.72,7029.68,1677.04
2024-07-18,CUST6628,South,Alice,P006,Tablet,Electronics,14,584.24,8179.36,5884.69,2294.67
2024-08-10,CUST9577,South,Charlie,P006,Tablet,Electronics,17,406.45,6909.65,4978.84,1930.81
2024-03-31,CUST5225,East,Alice,P003,Monitor,Electronics,7,279.34,1955.38,1484.94,470.44
2024-02-25,CUST3008,East,Alice,P005,Mouse,Accessories,13,20.91,271.83,173.9,97.93
2024-08-19,CUST6648,South,Charlie,P001,Laptop,Electronics,18,873.34,15720.12,12298.38,3421.74
2024-09-04,CUST4128,South,Fiona,P004,Keyboard,Accessories,6,42.1,252.6,163.48,89.12
2024-08-17,CUST2663,South,Charlie,P001,Laptop,Electronics,3,1140.43,3421.29,2197.77,1223.52
2024-07-13,CUST0188,North,Evan,P001,Laptop,Electronics,10,1027.89,10278.9,6617.05,3661.85
2024-04-23,CUST7265,North,Bob,P006,Tablet,Electronics,14,457.77,6408.78,5177.45,1231.33
2024-04-25,CUST5615,North,Evan,P004,Keyboard,Accessories,13,20.01,260.13,215.81,44.32
2024-01-29,CUST4671,North,Alice,P003,Monitor,Electronics,14,179.13,2507.82,1546.54,961.28
2024-05-24,CUST1383,South,Bob,P006,Tablet,Electronics,8,545.81,4366.48,2674.36,1692.12
2024-03-02,CUST2627,East,Diana,P003,Monitor,Electronics,7,230.81,1615.67,1041.15,574.52
2024-08-23,CUST0095,North,Diana,P001,Laptop,Electronics,3,1179.86,3539.58,2320.37,1219.21
2024-06-20,CUST0611,East,Diana,P001,Laptop,Electronics,17,857.43,14576.31,10516.27,4060.04
2024-09-20,CUST6849,North,Diana,P003,Monitor,Electronics,13,166.63,2166.19,1670.72,495.47
2024-09-19,CUST8614,East,Alice,P004,Keyboard,Accessories,5,35.64,178.2,116.65,61.55
2024-04-29,CUST3275,East,Diana,P001,Laptop,Electronics,19,930.23,17674.37,12650.56,5023.81
2024-11-24,CUST3653,North,Bob,P001,Laptop,Electronics,15,1130.46,16956.9,12967.94,3988.96
2024-09-30,CUST4244,East,Fiona,P002,Smartphone,Electronics,14,545.87,7642.18,5813.62,1828.56
2024-01-17,CUST1625,West,Charlie,P001,Laptop,Electronics,14,919.87,12878.18,10749.07,2129.11
2024-06-24,CUST7533,South,Diana,P003,Monitor,Electronics,10,167.45,1674.5,1318.19,356.31
2024-02-17,CUST6885,North,Diana,P004,Keyboard,Accessories,13,40.93,532.09,382.65,149.44
2024-12-20,CUST2951,North,Charlie,P006,Tablet,Electronics,7,616.02,4312.14,3238.85,1073.29
2024-06-28,CUST1640,West,Alice,P004,Keyboard,Accessories,3,38.94,116.82,95.16,21.66
2024-06-08,CUST2826,East,Fiona,P001,Laptop,Electronics,16,1047.89,16766.24,12426.43,4339.81
2024-01-24,CUST3592,West,Charlie,P002,Smartphone,Electronics,2,852.88,1705.76,1145.86,559.9
2024-08-21,CUST3589,East,Charlie,P003,Monitor,Electronics,9,161.67,1455.03,1053.52,401.51
2024-05-29,CUST6369,East,Diana,P004,Keyboard,Accessories,11,51.85,570.35,413.64,156.71
2024-06-13,CUST8783,East,Fiona,P005,Mouse,Accessories,1,20.79,20.79,17.02,3.77
2024-07-11,CUST9166,North,Charlie,P002,Smartphone,Electronics,13,836.83,10878.79,6899.37,3979.42
2024-03-31,CUST4362,North,Fiona,P006,Tablet,Electronics,15,369.18,5537.7,4036.59,1501.11
2024-03-22,CUST5525,East,Diana,P001,Laptop,Electronics,1,1038.25,1038.25,681.91,356.34
2024-10-08,CUST4564,South,Charlie,P006,Tablet,Electronics,9,369.75,3327.75,2321.78,1005.97
2024-06-23,CUST9529,South,Diana,P005,Mouse,Accessories,20,15.56,311.2,248.81,62.39
2024-03-13,CUST4993,West,Fiona,P005,Mouse,Accessories,3,24.16,72.48,51.23,21.25
2024-12-04,CUST7465,East,Charlie,P006,Tablet,Electronics,14,594.82,8327.48,5607.73,2719.75
2024-12-13,CUST1350,West,Fiona,P002,Smartphone,Electronics,15,520.49,7807.35,6104.84,1702.51
2024-07-10,CUST7658,South,Fiona,P003,Monitor,Electronics,14,188.46,2638.44,1856.2,782.24
2024-02-18,CUST1101,East,Fiona,P004,Keyboard,Accessories,8,36.17,289.36,240.5,48.86
2024-09-29,CUST9977,North,Alice,P003,Monitor,Electronics,3,227.92,683.76,549.82,133.94
2024-12-23,CUST9452,North,Alice,P002,Smartphone,Electronics,15,690.15,10352.25,8012.07,2340.18
2024-12-27,CUST9210,West,Alice,P005,Mouse,Accessories,10,26.71,267.1,206.84,60.26
2024-02-18,CUST7019,North,Charlie,P003,Monitor,Electronics,8,204.5,1636.0,1289.54,346.46
2024-02-18,CUST6961,South,Bob,P001,Laptop,Electronics,8,1082.36,8658.88,6156.91,2501.97
2024-11-29,CUST3457,North,Diana,P001,Laptop,Electronics,13,993.22,12911.86,9167.52,3744.34
2024-02-19,CUST3005,West,Diana,P004,Keyboard,Accessories,4,41.92,167.68,106.29,61.39
2024-08-24,CUST0265,West,Evan,P004,Keyboard,Accessories,19,45.69,868.11,689.3,178.81
2024-02-13,CUST5399,North,Diana,P006,Tablet,Electronics,17,472.36,8030.12,5255.77,2774.35
2024-06-21,CUST2772,West,Diana,P004,Keyboard,Accessories,7,42.91,300.37,195.57,104.8
2024-02-21,CUST0359,East,Evan,P001,Laptop,Electronics,11,1119.53,12314.83,9352.13,2962.7
2024-12-02,CUST0962,East,Fiona,P002,Smartphone,Electronics,5,831.37,4156.85,3215.81,941.04
2024-12-29,CUST8931,West,Fiona,P005,Mouse,Accessories,14,41.77,584.78,462.68,122.1
2024-03-16,CUST3061,North,Alice,P006,Tablet,Electronics,15,311.9,4678.5,3264.14,1414.36
2024-05-18,CUST0243,West,Bob,P004,Keyboard,Accessories,6,43.12,258.72,217.46,41.26
2024-09-12,CUST1313,South,Diana,P005,Mouse,Accessories,19,21.21,402.99,326.12,76.87
2024-05-27,CUST3344,South,Diana,P001,Laptop,Electronics,18,861.57,15508.26,12028.31,3479.95
2024-11-22,CUST8748,West,Charlie,P001,Laptop,Electronics,15,1095.02,16425.3,13641.44,2783.86
2024-10-13,CUST2585,North,Bob,P005,Mouse,Accessories,9,21.01,189.09,141.22,47.87
2024-11-04,CUST3841,North,Fiona,P006,Tablet,Electronics,19,514.22,9770.18,8191.52,1578.66
2024-12-09,CUST9856,North,Alice,P002,Smartphone,Electronics,11,620.99,6830.89,5788.44,1042.45
2024-08-15,CUST6858,West,Alice,P003,Monitor,Electronics,12,266.26,3195.12,2404.72,790.4
2024-10-22,CUST8825,West,Bob,P004,Keyboard,Accessories,20,27.19,543.8,410.15,133.65
2024-07-28,CUST2661,East,Bob,P001,Laptop,Electronics,12,903.39,10840.68,8150.18,2690.5
2024-09-23,CUST4020,North,Fiona,P005,Mouse,Accessories,17,40.99,696.83,466.52,230.31
2024-12-12,CUST6788,West,Evan,P002,Smartphone,Electronics,3,686.36,2059.08,1512.79,546.29
2024-06-06,CUST4442,South,Fiona,P001,Laptop,Electronics,13,1053.61,13696.93,11484.36,2212.57
2024-10-24,CUST0849,North,Diana,P001,Laptop,Electronics,11,1153.21,12685.31,9284.71,3400.6
2024-03-10,CUST2326,North,Charlie,P006,Tablet,Electronics,9,652.99,5876.91,4379.65,1497.26
2024-10-08,CUST1875,West,Alice,P001,Laptop,Electronics,7,1175.79,8230.53,6532.39,1698.14
2024-11-23,CUST7312,North,Bob,P005,Mouse,Accessories,5,29.43,147.15,99.27,47.88
2024-06-04,CUST1075,West,Bob,P001,Laptop,Electronics,17,1051.64,17877.88,10867.27,7010.61
2024-05-31,CUST6794,South,Fiona,P004,Keyboard,Accessories,5,41.15,205.75,154.35,51.4
2024-02-20,CUST0495,North,Diana,P003,Monitor,Electronics,10,276.37,2763.7,1883.63,880.07
2024-02-28,CUST5553,South,Fiona,P002,Smartphone,Electronics,17,703.06,11952.02,8902.62,3049.4
2024-01-22,CUST6865,North,Diana,P006,Tablet,Electronics,15,552.54,8288.1,5156.89,3131.21
2024-02-17,CUST6306,North,Bob,P005,Mouse,Accessories,4,40.17,160.68,131.94,28.74
2024-12-24,CUST0543,South,Alice,P004,Keyboard,Accessories,13,35.68,463.84,280.11,183.73
2024-07-22,CUST2871,West,Bob,P002,Smartphone,Electronics,20,548.02,10960.4,6731.93,4228.47
2024-10-30,CUST9747,West,Fiona,P006,Tablet,Electronics,9,412.24,3710.16,2428.62,1281.54
2024-09-10,CUST8552,West,Alice,P006,Tablet,Electronics,6,556.77,3340.62,2283.32,1057.3
2024-10-17,CUST2337,East,Bob,P001,Laptop,Electronics,6,804.38,4826.28,3796.33,1029.95
2024-05-24,CUST9594,North,Bob,P006,Tablet,Electronics,12,385.98,4631.76,3469.96,1161.8
2024-06-10,CUST9033,East,Evan,P002,Smartphone,Electronics,15,645.69,9685.35,5832.89,3852.46
2024-07-06,CUST0964,South,Evan,P004,Keyboard,Accessories,13,52.92,687.96,572.18,115.78
